No errors
No warnings
34 ms
data source=aircraftreports
1172 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2021-08-05T06:18:12Z,2021-08-05T06:16:00Z,,,,,,,AFR065,54.25,-25.6667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,277,37,,AIREP,ARP AFR065 5415N 02540W 0616 F370 M43 277/37 5259N 02001W 0640 5159N 01500W KT FGSQI QXT EUA 050616 F19A,
2021-08-05T06:21:46Z,2021-08-05T06:16:00Z,,,,,,,QTR7UY,48.8167,-32.45,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,269,140,,AIREP,ARP QTR7UY 4849N 03227W 0616 F330 M40 269/140 4859N 03000W 0625 4859N 02000W KT A7BET QXT AME 050616 F34A,
2021-08-05T06:21:46Z,2021-08-05T06:16:00Z,,,,,,,UAE238,47.0333,-31.8167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,270,107,,AIREP,ARP UAE238 4702N 03149W 0616 F350 M45 270/107 4658N 03000W 0624 4658N 02000W KT A6ECT DDL XXH 050616 F42A,
2021-08-05T06:17:02Z,2021-08-05T06:15:00Z,,,,,,,UAL901,58.7167,-36.4,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,302,17,,AIREP,ARP UAL901 5843N 03624W 0615 F410 M42 302/17 5759N 03001W 0639 5559N 02001W KT N27957 DDL XXN 050615 L46A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,DLH493,57.5,-22.1,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,276,15,,AIREP,ARP DLH493 5730N 02206W 0615 F400 M43 276/15 5700N 02000W 0623 PIKIL KT DAIXN DDL XXF 050616 J65A,
2021-08-05T06:21:46Z,2021-08-05T06:15:00Z,,,,,,,UAE220,49.7333,-33.55,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,269,142,,AIREP,ARP UAE220 4944N 03333W 0615 F350 M46 269/142 4959N 03000W 0629 4959N 02000W KT A6EQG DDL XXH 050616 F55A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,KLM741,49.0667,-21.5833,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,277,146,,AIREP,ARP KLM741 4904N 02135W 0615 F370 M48 277/146 4900N 02000W 0621 BEDRA KT PHBHA QXT EUA 050615 L04A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,SWR19R,49.0667,-22.0167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,281,140,,AIREP,ARP SWR19R 4904N 02201W 0615 F390 M54 281/140 4900N 02000W 0623 4800N 01500W KT HBJHL DDL XXF 050615 J98A,
2021-08-05T06:18:12Z,2021-08-05T06:15:00Z,,,,,,,UAE210,47.8167,-51.8167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,275,104,,AIREP,ARP UAE210 4749N 05149W 0615 F350 M45 275/104 4800N 05000W 0623 4800N 04000W KT A6EBR DDL YQX 050615 F23A,
2021-08-05T06:21:46Z,2021-08-05T06:15:00Z,,,,,,,TAP262A,47.6167,-35.15,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,269,127,,AIREP,ARP TAP262A 4737N 03509W 0615 F330 M41 269/127 4659N 03000W 0638 4459N 02001W KT CSTXA DDL IG1 050616 J01A,
